index,Unnamed: 0,Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
1969,1007,semisweet chocolate chip,1.0 package 12 ounces semisweet chocolate chips 2 cups,Misc_9,,1.0,cup
1970,1008,semisweet chocolate chip,4.8 12 ounce bags semi sweet chocolate chips,Misc_90,,0.6,cup
1971,1009,white chocolate chip,"2.0  3 cups mini or regular semisweet chocolate chips or 1 cup each semisweet, peanut butter, and white chocolate chips",Misc_91,,2.0,cup
1972,1010,semisweet chocolate chip,32.0 ounces semisweet chocolate chips,Misc_92,,4.0,cup
1973,1011,semisweet chocolate chip,2.0 cups chocolate chips,Misc_93,,2.0,cup
1974,1012,dark chocolate chip,1.66666666667 pounds chocolate chips or chunks original recipe calls for chopped dark chocolate,Misc_94,,0.013020833,cup
1975,1013,semisweet chocolate chip,2.0 cup semi sweet chocolate chips or chunks,Misc_98,,2.0,cup
1976,1014,semisweet chocolate chip,5.33333333333 cups or 1 12 oz. pkg. chocolate chips,Misc_99,,5.333333333,cup
1977,1285,milk chocolate chip,"3.0 cup of milk chocolate chips, plus more chocolate chips for topping cookies",Misc_101,,3.0,cup
1978,1287,milk chocolate chip,1.5 cup milk chocolate chips,Misc_108,,1.5,cup
1979,1288,milk chocolate chip,2.66666666667 cups about 12.66666666667 ounces semisweet and/or milk chocolate chips,Misc_13,,2.6666,cup
1980,1289,milk chocolate chip,4.0 cups milk chocolate chips,Misc_20,,4.0,cup
1981,1291,milk chocolate chip,2.0 cup milk chocolate chips,Misc_32,,2.0,cup
1982,1292,milk chocolate chip,1.33333333333 cup milk chocolate chips,Misc_37,,1.3333,cup
1983,1293,milk chocolate chip,1.6 cups hershey's milk chocolate chips 11.5 oz. pkg.,Misc_39,,1.6,cup
1984,1294,milk chocolate chip,3.0 cups semi sweet chocolate chips or milk chocolate,Misc_44,,3.0,cup
1985,1295,milk chocolate chip,4.0 cups semi sweet or milk chocolate chips,Misc_46,,4.0,cup
1986,1298,milk chocolate chip,0.888888888889 cup milk chocolate chips,Misc_63,,0.8888,cup
1987,1299,milk chocolate chip,2.66666666667 cups semisweet or milk chocolate chips or chocolate chunks,Misc_70,,2.6666,cup
1988,1300,milk chocolate chip,2.66666666667 cups milk chocolate chips,Misc_74,,2.6666,cup
1989,1301,milk chocolate chip,2.66666666667 cup milk chocolate chips,Misc_81,,2.6666,cup
